iter	AUC	CrossEntropy	Accuracy
0	0.8857344389	0.6700302948	0.8778920308
1	0.9278990328	0.6403423005	0.9010282776
2	0.9350560009	0.6149911758	0.8946015424
3	0.9578056931	0.5871028949	0.9023136247
4	0.9677795172	0.5614490264	0.9042416452
5	0.9690772593	0.5415395232	0.9023136247
6	0.97449705	0.5207308889	0.9068123393
7	0.97632429	0.5054165955	0.9074550129
8	0.9768116772	0.485495913	0.9093830334
9	0.9773420095	0.4680346413	0.9145244216
10	0.977001667	0.4537980342	0.9106683805
11	0.9785951376	0.435547228	0.9164524422
12	0.9791221619	0.4208834533	0.9183804627
13	0.9793501496	0.4089900706	0.9196658098
14	0.9809328914	0.397606857	0.9235218509
15	0.9815590382	0.3861149884	0.927377892
16	0.9811964035	0.3767598209	0.9267352185
17	0.9820563197	0.3661009487	0.927377892
18	0.9816945195	0.3581499821	0.926092545
19	0.9821645319	0.3478456316	0.9305912596
20	0.9825585783	0.3378824661	0.9299485861
21	0.9825238585	0.3302487175	0.9299485861
22	0.9825594127	0.3238135095	0.9293059126
23	0.9823693931	0.3171594419	0.9267352185
24	0.9820802808	0.3116443703	0.927377892
25	0.9826998115	0.3052648824	0.9293059126
26	0.9832879603	0.2971745273	0.9312339332
27	0.9835804105	0.2907437322	0.9325192802
28	0.9840826392	0.2859764589	0.9312339332
29	0.9842957556	0.2810053887	0.9312339332
30	0.9843304753	0.2769242706	0.9325192802
31	0.9847583771	0.2721266563	0.9325192802
32	0.9847534001	0.2670063715	0.9338046272
33	0.9849500358	0.2622533176	0.9318766067
34	0.9853745997	0.2565478837	0.9338046272
35	0.9856356382	0.2520916701	0.9344473008
36	0.9858950078	0.2482548299	0.9344473008
37	0.9860321581	0.2446111762	0.9338046272
38	0.9862733483	0.2402467899	0.9344473008
39	0.986204803	0.2362018772	0.9344473008
40	0.9863683581	0.2320931638	0.9350899743
41	0.9864691496	0.2286320076	0.9350899743
42	0.9864270091	0.2263748444	0.9370179949
43	0.9866847694	0.2236176322	0.9357326478
44	0.9870432317	0.2213481521	0.9376606684
45	0.9870539904	0.2183090249	0.9402313625
46	0.9873149991	0.2149654477	0.9402313625
47	0.987516582	0.2117765765	0.940874036
48	0.9879808426	0.2100189131	0.940874036
49	0.9881410599	0.2074359413	0.9415167095
50	0.9884037971	0.2055337705	0.9415167095
51	0.9884814024	0.2035738398	0.940874036
52	0.9885805249	0.2009053169	0.942159383
53	0.9887028337	0.199034507	0.9415167095
54	0.988904357	0.1967599275	0.940874036
55	0.9890431166	0.195049433	0.9428020566
56	0.9890910387	0.1931163327	0.940874036
57	0.9893058538	0.1912487589	0.942159383
58	0.9894198179	0.1902840818	0.9434447301
59	0.9893950224	0.1886079881	0.9440874036
60	0.9895354509	0.186325387	0.9453727506
61	0.9896990061	0.1842778851	0.9460154242
62	0.9898626208	0.1825593492	0.9460154242
63	0.9898626208	0.1812265391	0.9447300771
64	0.9900228381	0.1793843247	0.9440874036
65	0.9900955558	0.1779660222	0.9440874036
66	0.9901666045	0.176527597	0.9447300771
67	0.9902111888	0.175717724	0.9447300771
68	0.9903648496	0.1742093005	0.9447300771
69	0.9904177189	0.1734155101	0.9453727506
70	0.9905102253	0.1720301179	0.9447300771
71	0.9905630946	0.1709288962	0.9447300771
72	0.9905961156	0.1694377124	0.9453727506
73	0.9906754494	0.1676875411	0.9466580977
74	0.9907580614	0.1665974595	0.9466580977
75	0.9907993674	0.1654393409	0.9473007712
76	0.9908373356	0.1639100494	0.9479434447
77	0.9909100533	0.1627658658	0.9492287918
78	0.9909860492	0.1615049367	0.9505141388
79	0.9910537601	0.1603410422	0.9498714653
80	0.9911149144	0.1592048802	0.9498714653
81	0.9911875725	0.1582526082	0.9498714653
82	0.9912669063	0.1572131179	0.9498714653
83	0.9913263917	0.1566847186	0.9498714653
84	0.9913610816	0.1559337724	0.9498714653
85	0.9914287925	0.1551552211	0.9498714653
86	0.9914486408	0.1545319153	0.9492287918
87	0.991569221	0.1533508987	0.9505141388
88	0.9916402698	0.1524129637	0.9505141388
89	0.9917724729	0.151320303	0.9505141388
90	0.9918170571	0.1507454605	0.9505141388
91	0.9918633103	0.1504328416	0.9505141388
92	0.9919145107	0.1496356091	0.9517994859
93	0.9920169711	0.1484978879	0.9517994859
94	0.9921276569	0.1476440626	0.9524421594
95	0.9921326041	0.147424997	0.9530848329
96	0.9921937585	0.1467241518	0.9524421594
97	0.9922069311	0.14580277	0.9524421594
98	0.9922432899	0.1455616792	0.9524421594
99	0.9922730327	0.144847762	0.9524421594
100	0.9923060536	0.1443216476	0.9530848329
101	0.9924316406	0.1428459972	0.9530848329
102	0.9924696088	0.1420832931	0.9537275064
103	0.9924795628	0.1420335451	0.9537275064
104	0.9924977422	0.1415959434	0.9530848329
105	0.9925605059	0.1407165527	0.9550128535
106	0.9927058816	0.1397090804	0.955655527
107	0.9927257299	0.1396283147	0.955655527
108	0.9928017259	0.1389384723	0.9562982005
109	0.9928199053	0.1386214308	0.956940874
110	0.9928628206	0.1379555553	0.956940874
111	0.9929008484	0.137336123	0.9562982005
112	0.9929107428	0.1370803715	0.956940874
113	0.9929768443	0.1361558321	0.956940874
114	0.9930148125	0.1357523077	0.956940874
115	0.9930263758	0.1356543416	0.956940874
116	0.9930842519	0.135136239	0.956940874
117	0.9931255579	0.1345492562	0.956940874
118	0.9931618571	0.1342406285	0.956940874
119	0.9931932688	0.1340388614	0.956940874
120	0.9932279587	0.1335099032	0.9575835476
121	0.9932510853	0.1330710757	0.9575835476
122	0.993289113	0.1326717975	0.9575835476
123	0.9933105707	0.1325189742	0.9575835476
124	0.9933336973	0.132368887	0.9575835476
125	0.9933799505	0.1321359061	0.9575835476
126	0.9934229255	0.131551365	0.9575835476
127	0.9934443831	0.1313038412	0.956940874
128	0.9934774041	0.1307280965	0.9575835476
129	0.9935104847	0.1305450596	0.9575835476
130	0.9935286641	0.1299374735	0.9575835476
131	0.9935253263	0.1295595243	0.9575835476
132	0.9935864806	0.1292308229	0.9575835476
133	0.9935930967	0.1291213734	0.9582262211
134	0.9936079383	0.1289607345	0.9582262211
135	0.9936575294	0.1283521873	0.9582262211
136	0.9937037826	0.1276010548	0.9588688946
137	0.9937417507	0.1273111574	0.9588688946
