iter	Passed	Remaining
0	52	52826
1	99	49867
2	144	47993
3	190	47321
4	235	46952
5	281	46589
6	328	46540
7	372	46195
8	414	45594
9	453	44932
10	494	44420
11	535	44128
12	576	43799
13	615	43360
14	655	43055
15	695	42772
16	734	42491
17	775	42318
18	816	42134
19	856	41971
20	895	41768
21	936	41624
22	978	41544
23	1020	41516
24	1061	41405
25	1102	41298
26	1143	41194
27	1182	41038
28	1224	40999
29	1266	40955
30	1309	40924
31	1351	40868
32	1391	40788
33	1431	40665
34	1476	40697
35	1520	40720
36	1561	40638
37	1602	40564
38	1640	40432
39	1681	40347
40	1720	40242
41	1760	40166
42	1799	40050
43	1841	40009
44	1884	39993
45	1925	39939
46	1966	39871
47	2010	39875
48	2054	39866
49	2095	39811
50	2137	39781
51	2177	39700
52	2219	39659
53	2281	39966
54	2322	39910
55	2365	39869
56	2406	39806
57	2452	39828
58	2496	39822
59	2541	39812
60	2582	39755
61	2623	39691
62	2666	39659
63	2707	39594
64	2750	39570
65	2791	39502
66	2831	39433
67	2872	39368
68	2913	39305
69	2952	39229
70	2994	39177
71	3033	39104
72	3076	39063
73	3119	39032
74	3162	38999
75	3202	38932
76	3243	38878
77	3284	38819
78	3323	38748
79	3363	38682
80	3405	38632
81	3444	38564
82	3484	38493
83	3525	38449
84	3569	38423
85	3615	38424
86	3657	38379
87	3701	38359
88	3739	38281
89	3778	38207
90	3817	38133
91	3854	38045
92	3895	37995
93	3938	37961
94	3978	37898
95	4018	37837
96	4057	37776
97	4099	37730
98	4139	37675
99	4179	37614
100	4218	37547
101	4258	37493
102	4298	37432
103	4331	37318
104	4370	37256
105	4411	37209
106	4453	37166
107	4492	37108
108	4532	37052
109	4575	37018
110	4615	36962
111	4654	36900
112	4693	36840
113	4733	36790
114	4772	36729
115	4811	36665
116	4850	36606
117	4890	36553
118	4928	36489
119	4967	36430
120	5008	36380
121	5047	36325
122	5086	36269
123	5125	36208
124	5163	36142
125	5203	36090
126	5244	36051
127	5284	36000
128	5326	35963
129	5365	35906
130	5404	35853
131	5443	35794
132	5483	35744
133	5523	35693
134	5562	35640
135	5605	35608
136	5646	35566
137	5686	35519
138	5726	35471
139	5768	35433
140	5808	35387
141	5846	35328
142	5886	35280
143	5926	35229
144	5965	35173
145	6006	35133
146	6049	35105
147	6089	35055
148	6128	34999
149	6167	34948
150	6205	34892
151	6245	34844
152	6285	34796
153	6325	34750
154	6363	34692
155	6401	34636
156	6443	34597
157	6482	34546
158	6521	34492
159	6559	34436
160	6598	34384
161	6635	34321
162	6673	34270
163	6713	34223
164	6751	34168
165	6791	34120
166	6831	34075
167	6870	34023
168	6912	33988
169	6952	33945
170	6991	33894
171	7030	33846
172	7069	33795
173	7109	33751
174	7151	33716
175	7190	33666
176	7228	33612
177	7266	33557
178	7305	33508
179	7343	33455
180	7381	33400
181	7422	33358
182	7460	33307
183	7499	33259
184	7539	33212
185	7577	33161
186	7617	33118
187	7657	33074
188	7696	33027
189	7736	32981
190	7777	32943
191	7817	32898
192	7857	32855
193	7895	32804
194	7936	32764
195	7975	32717
196	8016	32676
197	8055	32629
198	8097	32595
199	8138	32554
200	8177	32505
201	8215	32456
202	8254	32408
203	8292	32357
204	8333	32316
205	8373	32276
206	8414	32234
207	8453	32189
208	8493	32144
209	8533	32101
210	8574	32063
211	8614	32020
212	8654	31978
213	8693	31929
214	8733	31885
215	8772	31840
216	8811	31795
217	8851	31750
218	8889	31701
219	8928	31654
220	8967	31609
221	9004	31556
222	9043	31509
223	9083	31468
224	9122	31422
225	9161	31377
226	9201	31332
227	9238	31282
228	9276	31232
229	9314	31183
230	9353	31137
231	9392	31090
232	9431	31047
233	9470	31000
234	9511	30963
235	9553	30928
236	9594	30887
237	9633	30844
238	9675	30807
239	9714	30761
240	9755	30722
241	9795	30682
242	9835	30640
243	9878	30605
244	9919	30569
245	9963	30539
246	10005	30503
247	10047	30467
248	10090	30434
249	10135	30405
250	10177	30370
251	10221	30339
252	10261	30299
253	10302	30259
254	10344	30220
255	10384	30179
256	10427	30145
257	10467	30103
258	10506	30058
259	10545	30013
260	10585	29970
261	10626	29931
262	10666	29890
263	10705	29845
264	10746	29805
265	10784	29759
266	10825	29718
267	10865	29676
268	10905	29635
269	10946	29595
270	10987	29556
271	11027	29513
272	11065	29466
273	11107	29431
274	11148	29390
275	11188	29348
276	11228	29308
277	11269	29267
278	11307	29221
279	11348	29182
280	11389	29142
281	11428	29098
282	11468	29055
283	11508	29013
284	11547	28969
285	11586	28926
286	11625	28881
287	11664	28836
288	11703	28791
289	11741	28746
290	11781	28704
291	11823	28667
292	11864	28628
293	11904	28587
294	11946	28549
295	11986	28509
296	12028	28471
297	12068	28430
298	12110	28392
299	12151	28353
300	12190	28310
301	12229	28266
302	12269	28224
303	12310	28184
304	12351	28146
305	12390	28101
306	12429	28058
307	12469	28015
308	12508	27971
309	12548	27930
310	12588	27888
311	12628	27846
312	12666	27802
313	12707	27762
314	12748	27721
315	12787	27678
316	12829	27641
317	12868	27598
318	12908	27558
319	12949	27517
320	12989	27476
321	13028	27431
322	13068	27391
323	13109	27351
324	13147	27307
325	13188	27266
326	13229	27227
327	13268	27184
328	13307	27141
329	13346	27098
330	13388	27059
331	13430	27022
332	13473	26987
333	13512	26944
334	13551	26900
335	13593	26863
336	13635	26825
337	13676	26785
338	13716	26745
339	13756	26702
340	13794	26658
341	13837	26623
342	13878	26582
343	13918	26543
344	13957	26499
345	13998	26459
346	14037	26416
347	14076	26372
348	14119	26338
349	14160	26297
350	14199	26254
351	14240	26214
352	14279	26171
353	14320	26132
354	14358	26087
355	14397	26045
356	14439	26007
357	14479	25965
358	14518	25923
359	14559	25884
360	14600	25844
361	14638	25798
362	14677	25756
363	14716	25712
364	14754	25668
365	14792	25623
366	14831	25581
367	14871	25540
368	14911	25499
369	14950	25455
370	14991	25417
371	15031	25375
372	15072	25337
373	15113	25296
374	15152	25254
375	15193	25215
376	15232	25172
377	15271	25129
378	15312	25089
379	15351	25047
380	15393	25008
381	15437	24974
382	15476	24932
383	15517	24893
384	15556	24850
385	15600	24814
386	15641	24776
387	15685	24740
388	15724	24699
389	15762	24654
390	15802	24613
391	15841	24570
392	15879	24526
393	15918	24484
394	15960	24446
395	16001	24406
396	16043	24367
397	16082	24325
398	16122	24284
