messages;fake
В бою на острове Змеином погибли 13 украинских пограничников, сообщает Антон Геращенко;1
Российские военнослужащие, участвующие в спецоперации, не увидят обещанных выплат - из-за кризиса в России сформировался дефицит бюджета. Такие сообщения со ссылкой на ГУР Минобороны Украины распространяют . ;1
ВС РФ лишились еще одного танка на Украине. Фото затопленной в пруду техники расходится  в проукраинских телеграм-каналах. ;1
Партия Владимира Зеленского побеждает на выборах. Скорее всего она получит более 250 мандатов в Верховной раде. При таких результатах «Слуге народа» не нужна коалиция – впервые в истории независимой Украины;1
С блокированных кораблей националистами «Азова» в морском порту г. Мариуполь, военнослужащими РФ и ДНР эвакуированы 47 членов экипажей;1
«Азовцы» сожгли иностранное судно в порту Мариуполя;1
Минобороны РФ заявило, что ВДВ России взяли под контроль территорию в районе Чернобыльской АЭС.;1
ВФУ готовятся к сдаче города Рубежное, и начинают подрывать химикаты;1
Президент подписал указ об ускоренном весеннем призыве;1
Алексей Кудрин покинул Россию. В пятницу вечером он был замечен в отеле Ritz в израильской Герцлии. Пока неизвестно будет ли он уже по проторенной дорожке других видных россиян просить израильское гражданство.;1
Представители таксопарков пожаловались на ухудшение условий ведения бизнеса, предупредили о возможном возвращении «бомбил» и снижении безопасности поездок. Власти и агрегаторы рассматривают варианты поддержки ;1
Власти РФ организуют массовое перемещение украинских граждан в Россию. После фильтрационных лагерей беженцев высылают в экономически депрессивные районы страны. ;1
Новый вид угроз со стороны Украины: зафиксирована «атака» на сотрудников государственных СМИ и телеканалов. Пока все ограничивается телефонными звонками с требованием уволиться с рабочих мест. В некоторых случаях действуют изощреннее – представляются бывшими коллегами или начальством.;1
Владимир Зеленский выпустил  новое обращение, в котором рассказал об успехах ВСУ под Чернобаевкой, блокадный Мариуполь и блокировку гумконвоев в Херсон со стороны ВС РФ.;1
Россия теряет  табачный бизнес. Japan Tobacco, British American Tobacco и Philip Morris заявили о приостановке инвестиций и сокращении производства в России.;1
Глава минпромторга России Денис Мантуров заявил: «Импортозамещение остановилось по причине невозможности приобрести иностранные компоненты»;1
Иван Ургант эмигрировал из России вместе с семьей. Телеграм-канал Baza предположил (https://t.me/bazabazon/10542), что ведущий находится в Израиле.;1
В Москве выстроились длинные очереди к банкоматам, пишут в телеграм-каналах.;1
Министерство обороны России представило чудо-бронепоезд. Даже пригнало его в Украину воевать с нами. - с насмешкой пишет  Дмитрий Гордон;1
Украине не нужна демилитаризация и денацификация, конфликт можно и нужно было решить дипломатическим путем. ;1
В России практически не осталось ВДВ. Подразделения, задействованные на Украине, уничтожены на 80%. Такие сообщения распространяются в телеграм-каналах.;1
