messages;labels
" Власти опровергли появившуюся в соцсети информацию, что жителям двух приграничных районов Воронежской области месяц работы будет считаться за два. 
""В россошанском паблике во ""Вконтакте"" появилась информация о том, что жителям (приграничных) Кантемировского и Россошанского районов один месяц работы будет считаться за два, будет единовременная выплата и компенсация в случае ранения или смерти. Такая мера введена только для работников компании ""Россети"", - сообщает в субботу администрация Россошанского района в своем Telegram-канале. 
Как отмечают власти, соответствующий приказ подписал генеральный директор ПАО ""Россети Центр"" Игорь Маковский, и это связано с ""повышенным уровнем опасности"" работников организации.";0
" Агент Ромелу Лукаку опровёрг эти слухи.
«Много шума из ничего», — сказал он в интервью La Repubblica, когда его спросили о связях бельгийца с миланским клубом.

Однако, он добавил, что Лукаку недоволен количеством игрового времени, которое ему предоставляет главный тренер «синих» Томас Тухель.
«Я не обсуждаю тактические решения, но очевидно, что проблема есть. Он по-прежнему лучший бомбардир команды, у которого меньше игрового времени по сравнению с его товарищами по клубу», - сказал агент нападающего.";0
" Денисова известна своими пугающими обвинениями в адрес РФ, которые не подкрепляет доказательствами. Детский фонд ООН (ЮНИСЕФ) уже заявлял, что не располагает данными о якобы вывозе украинских детей насильно в Россию, сообщал директор экстренных программ фонда Мануэль Фонтэн. Свидетельства о подобных фактах все так же отсутствуют.

За месяц вооруженного конфликта на Украине беженцами стали около 4,3 млн детей, часть их добровольно перемещена на территорию РФ с родителями. Здесь переселенцам предоставляют кров, еду и одежду, а детям – возможность проходить обучение по основной программе. Возможно, что она отличается от украинской – ведь там пытаются учить альтернативной истории, строящейся уже в угоду нацистским настроениям.";0
" Этот инфоповод украинская пропаганда уже использовала не раз, но он, видимо, настолько будоражащий, что его используют ежемесячно. Пресс-служба Штаба теробороны ДНР рассказывала, что пользователям соцсетей и мессенджеров продолжает поступать ложная информация. Мошенники запугивают население ""второй волной мобилизации"", которая коснётся женщин от 18 до 55 лет и будет проходить с поиском населения в квартирах и частных домах.
На сайте УНМ ДНР указанных писем и приказов нет. 

Напомним, в ЛНР и ДНР уже провели всеобщую мобилизацию. И тогда обращение начальника УНМ республики Дениса Синенкова было сразу опубликовано во всех источниках. Военные эксперты также отмечают, что даже при срочной мобилизации новые силы поступят в зону боевых действий не раньше, чем через несколько месяцев. И это будут в данном случае необученные военным специальностям женщины, что вряд ли поможет спецоперации. Но нужды в этом по-прежнему нет.";0
" Что касается ума, то как минимум отсутствие пусть не его, а культуры продемонстрировала как раз Бауман, которая выругалась матом прямо во время интервью.
Что же касается боевых бурятов, то мы уже писали о том, что «Боевые буряты» не дают покоя украинским СМИ со времен 2014 года. 

На Украине мемы о бурятах приобрели невероятную популярность. И абсолютно не соответствуют действительности, так как отдельных группировок бурятов в российской армии нет. Как, кстати, и резиновых сапог в штатном обмундировании. 

Конечно, в армии России служат и буряты и тувинцы и калмыки и представители других национальностей, приживающих в стране, а их более 300. И все перемешаны, даже в чеченских подразделениях Росгвардии воюют представители разных национальностей и вероисповеданий.";0
" В Рубежном действительно начал работать восстановленный военный госпиталь, в котором медики из Чечни оказывают помощь военнослужащим и мирным жителям города. Для этого из ЧР приехали врачи. Глава республики Рамзан Кадыров сообщил, что все расходы взял на себя Региональный общественный фонд имени Героя России Ахмата-Хаджи Кадырова.  

«Открытие данного госпиталя будет способствовать принятию своевременных мер по оказанию медицинской помощи бойцам, что существенно снизит риск возникновения осложнений при ранении. В госпитале могут расположиться до 30 пациентов», - отметил Кадыров. Про заброшенность госпиталя речи не идет, но его необходимо было восстановить, так как Рубежное пострадало от боев.";0
" Сказка про «уже 19 раз разбили» напоминает историю про ковбоя Джо, которого никто не может догнать, потому что он никому не нужен. Чернобаевка, конечно — стратегический населенный пункт, однако как можно 19 раз разбивать российские войска и одновременно писать о том, что местные жители пытаются вести «привычный образ жизни» — непонятно.

Кстати, о том, что войска РФ никому не дают выехать. Россия по-прежнему готова открывать новые гуманитарные коридоры для эвакуации мирных жителей с опасных районов Украины и ЛДНР. Об этом сообщил начальник Национального центра управления обороной РФ генерал-полковник Михаил Мизинцев.

Украинская сторона по-прежнему цинично утверждает, что РФ блокирует выход мирных жителей, добавил генерал. . Однако в действительности этим занимается киевская власть, с одобрения которой ВСУ обстреливают выезды.";0
" The Washington Post, ссылаясь на спутниковые снимки компании Maxar Technologies, уже заявляла о появлении загонов для боевых дельфинов на воде в Севастопольскую бухту. Которые, конечно, должны были участвовать в спецоперации. Однако с сенсацией они опоздали: еще в марте 2016 года Минобороны РФ объявило конкурс на закупку 5 дельфинов-афалин. Дельфинов в том же году отправили в Севастополь и разместили в тех самых загонах.
Информацию о том, что Черноморский флот проводит в океанариуме учения с участием боевых дельфинов, Минобороны это опровергло: ""Нет никакой необходимости готовить дельфинов в военных целях, так как пункты базирования флота в достаточной степени защищены противодиверсионными силами"". В статье в эстонском Postimees и сам автор вспоминает: на Украине подлодок нет, а дельфины – дело темное.";0
" Умные болгары при этом стоимость природного газа не называют. Однако есть еще и профильные эксперты, которые считают, что  «Булгаргаз» скорее всего, договорилось с американским производителем сжиженного газа LNG по ценам на американском газовом хабе Henry Hub. Последняя цена на нём была около 22 евро/мВтч, на газовых хабах в Европе цена около 95 евро/мВтч.

Однако к цене газа на хабе в США надо прибавить стоимость его транспортировки до Греции, перевода жидкого газа в обычное состояние и транспортировку его по трубопроводу в Болгарию. В результате цена газа на входе в Болгарию будет не то, что сравнима, а выше газпромовской цены. 
Да и вообще, редакция Telegram-канала впервые слышит о том, что можно стать независимым от газа, если гонять танкеры с газом грубо на 10 000 км, вместо 1000 км трубы.";0
" Администрация Курской области назвала эти сведения фейковыми. «В Курской области по чатам распространяется новый фейк. Якобы в Курске диверсанты разбросали взрывные устройства, замаскированные под игрушки и небольшие вещи, и уже есть первые жертвы. Эта информация не соответствует действительности! Подобных случаев не фиксируется», — говорится в сообщении комитета информации и печати областной администрации.

При этом власти призывают местных жителей к осторожности и внимательности.
«Но, действительно, взрывные устройства могут маскировать под бытовые предметы или оставляют в виде «забытых» пакетов. Не трогайте такие вещи! О подозрительных гражданах или забытых предметах просим сообщать в полицию», — отмечается в пресс-релизе.";0
