messages;fake
Двух забайкальцев осудили за связи с сирийскими террористами;0
Подозреваемого в экстремизме моряка с Украины арестовали во Владивостоке;0
В Израиле в центре Тель-Авива произошел теракт;0
В России ликвидирована крупная ячейка пособников сирийских террористов;0
Министерство госбезопасности ЛНР задержало двух украинских агентов разведки, которые готовили теракты на территории республики и в России;0
В Крыму нейтрализован вооруженный боевик;0
ФСБ и Росгвардия задержали в Омске членов террористической группировки;0
В Омске ликвидировали законспирированную ячейку террористов;0
В Сочи мужчину задержали за ложное сообщение о минировании остановки;0
"В Хабаровске в очередной раз ""заминировали"" школы";0
Украинские войска выпустили три снаряда по Ясиноватой;0
Украинские войска выпустили два снаряда по Горловке;0
В Мариуполе 11 мирных жителей пострадали при обстрелах украинскими войсками;0
Украинские войска обстреляли Озеряновку;0
"Украинские войска обстреляли из ""Града"" Любовку в ДНР";0
Украинские военнослужащие выпустили по Донецку десять реактивных снарядов;0
В Архангельске из-за звонка о взрывном устройстве эвакуировали больницу;0
Экстремисты «Меджлиса», совершившие подрыв газопровода в Крыму, признались, что их организация связана со спецслужбами Украины;0
В ФСБ сообщили о задержании экстремистов, которых курировали нацисты на Украине;0
Сотрудники ФСБ РФ задержали банду украинских радикалов;0
В Мальме местный художник-экстремист демонстративно сжег Коран;0
Пятеро предполагаемых террористов задержаны в Бурятии, Дагестане и Кабардино-Балкарии;0
В Москве арестовали шестерых граждан Киргизии, подозреваемых в создании экстремистской организации;0
В Карачаево-Черкесии и Москве задержаны 12 участников радикальной ячейки;0
Телефонный террорист, угрожавший взорвать кафе в Коломне, выполнял спецзадание;0
В Израиле террористы расстреляли полицейских;0
